Medication,"Contraindications (CI), drug interactions (DI) or cautions",Adverse Effects,Initial dose; typical dose,Canadian brands,Therapeutic area,Source of suggestion,Evidence package,Decision date
prednisone,"DI: aspirin(GI effects), fluoroquinolone (tendon rupture), carbamazepine, phenytoin, vaccines (decreased efficacy)","cushing features, increased blood glucose, skin thinning, psychiatric effects, impaired wound healing, infection,  gastrointestinal bleeding, cataracts, osteoporosis/osteopenia, fluid and electrolyte imbalances, fat redistribution",5mg; 5-60mg one time a day,"Apo-Prednisone,JAA-Prednisone,Teva-Prednisone,Winpred",antineoplastic and immunosupressives,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
propylthiouracil,"CI: liver disease DI: warfarin, digoxin, beta blockers","lupus like vasculitis, agranulocytosis, severe liver disease",100mg; 100-300mg one time a day,Propyl-Thyracil,"hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
ramipril,"CI: Angioedema, pregnancy, breast feeding, renal dysfunction DI: diuretic (potassium sparing), lithium","hypotension, dizziness, headache, chest pain, cough, rash, hyperkalemia, nausea , vomiting",2.5mg; 2.510 mg once daily,"ACT Ramipril,Altace,Apo-Ramipril,Auro-Ramipri,Dom-Ramipril,JAMP-Ramipril,Mar-Ramipril,Mint-Ramipril,Mylan-Ramipril,PMS-Ramipril,Pro-Ramipril,RAN-Ramipril,Sandoz-Ramipril,Teva-Ramipril,Van-Ramipril",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Ramipril_C.docx,"Added on August, 2015"
ranitidine,"DI: warfarin, procainamide, triazolam, midazolam, glipizide, antivirals, ketoconazole","headache, constipation, diarrhea, nausea, vomiting, abdominal discomfort/pain, rash ",150mg; 150-300mg every 12 hours,"Acid Reducer,ACT Ranitidine,Apo-Ranitidine,Dom-Ranitidine,Myl-Ranitidine,Mylan-Ranitidine,PHL-Ranitidine,PMS-Ranitidine,RAN-Ranitidine,Ranitidine Injection, USP,Riva-Ranitidine,Sandoz-Ranitidine,Teva-Ranitidine,Zantac,Zantac 75,Zantac Maximum Strength Non-Prescription",gastrointestinal medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
risperidone,"CI:epilepsy, thyrotoxicosis, Parkinsons disease, caution with renal or hepatic impairment, cardiovascular disease, pregnancy DI:fluoxetine, paroxetine, quinidine, carbamazepine, phenytoin, rifampin, phenobarbital Elderly patients at increased risk of death","increased appetite, fatigue, nausea, vomiting, constipation, parkinsonism, upper abdominal pain, anxiety, dizziness, tremor, sedation, akathisia, dystonia, blurred vision, stomach discomfort",3mg; 3mg every 12 hours,"ACT Risperidone,Apo-Risperidone,Ava-Risperidone,Dom-Risperidone,JAMP-Risperidone,Mar-Risperidone,Mint-Risperidone,Mylan-Risperidone,Mylan-Risperidone ODT,PHL-Risperidone,PMS-Risperidone,PMS-Risperidone ODT,PRO-Risperidone,RAN-Risperidone,ratio-Risperidone,Risperdal,Risperdal Consta,Risperdal M-Tab,Riva-Risperidone,Sandoz-Risperidone,Teva-Risperidone",medicines for mental and behavioural disorders,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
rivaroxaban,"CI: active bleeding, increased risk of clinically significant bleeding, hepatic disease, pregnancy, breastfeeding, hypersensitivity, severe renal dysfunction (CrCl <30mL/min) DI: systemic treatment with strong inhibitors of both CYP 3A4 and P-glycoprotein (P-gp), such as ketoconazole, itraconazole, posaconazole, or ritonavir, Concomitant treatment with any other anticoagulant (heparin, oral anticoagulants)",bleeding and associated complications (weakness/paleness/dizziness/headache/dyspnea/unexplained shock),"deep vein thrombosis, pulmonary embolism treatment: 15 mg twice daily",Xarelto,medicines affecting the blood,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Rivaroxaban_C.docx,"Added on August, 2015"
salbutamol,,"tremor, anxiety, increased QT, tachycardia, headache, decreased potassium, increased insulin secretion",metered-dose inhaler: 100mcg/puff 1-2 puffs as needed; disk inhaler 100; 200mcg as needed; nebulizer:2.5; 5mg/neb as needed,"Airomir,Apo-Salvent,Apo-Salvent AEM,Apo-Salvent CFC Free,Apo-Salvent Sterules,Dom-Salbutamol,Novo-Salbutamol HFA,PHL-Salbutamol,PMS-Salbutamol,ratio-Ipra-Sal,ratio-Salbutamol,Salbutamol HFA,Sandoz-Salbutamol,Teva-Salbutamol Sterinebs P.F.,Ventolin Diskus,Ventolin HFA,Ventolin I.V. Infusion,Ventolin Nebules P.F.,Ventolin Respirator",medicines acting on the respiratory tract,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
salicylic acid,"CI: children < 2 years DI:sulfonylureas, methotrexate, anti -coagulants, corticosteroids For Skin use only","excessive skin erythema, scaling",6%; one time a day,"Duofilm,Duoforte 27,Occlusal-HP,Sebcur,Soluver,Soluver Plus,Trans-Plantar,Trans-Ver-Sal",dermatological (topical),WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
salmeterol,"CI: respiratory infection, tachyarythmia DI: sympathomimetics, MOAs or TCAs, ritonavir, CYP3A4 inhibitors","upper respiratory tract infection, pharyngitis, hoarseness, dysphonia, bronchitis, cough, headache, nausea, vomiting, sinusitis, musculoskeletal pain, fever, dizziness",50ug (inhalation) twice daily,"Serevent Diskhaler Disk,Serevent Diskus",medicines acting on the respiratory tract,Suggestion from clinicians ,http://cleanmeds.ca/wp-content/uploads/2016/08/Salmeterol_C.docx,"Added on August, 2015"
senna,"CI: mechanical/paralytic intestinal obstruction, inflammatory bowel disease Stop if rectal bleeding occurs or if patient fails to have a bowel movement after therapy","abdominal pains and cramps, diarrhea, chronic use can lead to brown pigmenting of colon wall",2 tabs at nights for 1 week,,gastrointestinal medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
sertraline,"DI: MAOis, triptans, tricyclic antidepressants, fentanyl, lithium, tramadol, tryptophan, buspirone, and st. john's wort","nausea, anxiety, anorexia, decreased sexual desire, hyponatremia, serotonergi syndrome with monoamine oxidase inhibitors",25mg; 25-100mg one time a day,"ACT Sertraline,Apo-Sertraline,Auro-Sertraline,Dom-Sertraline,GD-Sertraline,JAMP-Sertraline,Mar-Sertraline,MINT-Sertraline,Mylan-Sertraline,PHL-Sertraline,PMS-Sertraline,Q-Sertraline,Ran-Sertraline,ratio-Sertraline,Riva-Sertraline,Sandoz-Sertraline,Teva-Sertraline,Zoloft",medicines for mental and behavioural disorders,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Sertraline_C.docx,"Added on August, 2015"
spironolactone,CI: renal and hepatic dysfunction,hyperkalemia,25mg; 25-200mg one time a day,"Aldactone,Teva-Spironolactone",diuretics,WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
sulfamethoxazole/ trimethoprim,"CI: sulphur, trimethoprim allergy, pregnancy, infants less than 2 months, folic acid deficiency DI: phenytoin, TCAs, anticoagulants, ACE inhibitors","nausea, vomiting, anorexia, allergic skin reactions",5-10mg/kg/day in 2 divided doses,"Apo-Sulfatrim,Apo-Sulfatrim DS,Apo-Sulfatrim Pediatric,Protrin DF,Septra Injection,Teva-Trimel,Teva-Trimel DS,Trisulfa,Trisulfa DS,Trisulfa S",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
sulfasalazine,"CI: intestinal or urinary obstruction, porphyria Caution with liver and kidney dysfunction, blood dyscrasias, asthma DI:folic acid, digoxin Must be familiar with use","anorexia, headache, nausea, vomiting, gastric distress, reversible oligospermia",500mg; 2g/day in divided doses,"Apo-Sulfasalazine,PMS-Sulfasalazine,Salazopyrin,Salazopyrin En-Tabs",gastrointestinal medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
tadalafil,"CI:, concurrent use of organic nitrate, previous episode of nonarteritic anterior ischemic optic neuropathy DI: amyl nitrate, organic nitrates, itraconazole, ketoconazole","flushing, headache, nausea, hypertension, nasal congestion, respiratory tract infection, nasopharyngitis",2.5 mg once daily,,,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Tadalafil_C.docx,"Added on August, 2016"
tamsulosin,"DI: avoid other _-adrenergic blockers, ketoconazole, erythromycin, paroxetine, terbinafine, caution with cimetidine, warfarin, PDE-5 inhibitors Screen for prostate cancer prior to use","dizziness, asthenia, postural hypotension",0.4mg; 0.4-0.8mg one time a day,"po-Tamsulosin CR,Flomax CR,Mylan-Tamsulosin,ratio-Tamsulosin,Sandoz-Tamsulosin,Tamsulosin CR,Teva-Tamsulosin,Teva-Tamsulosin CR",medicines that do not fall under a WHO class,Canadian clinical practice guidelines ,http://cleanmeds.ca/wp-content/uploads/2016/08/Tamsulosin_C.docx,"Added on August, 2015"
tenofovir disoproxil fumarate,"CI: hypersensitivity to tenofovir DI:Adeforvir, Didanosine, NSAIDs","insomnia, headache, dizziness, depression, pruritis, skin rash, nausea, vomiting, diarrhea, abdominal pain, decreased bone mineral density, fat redistribution, immune reconstitution syndrome, lactic acidosis, hepatomegaly, renal toxicity, pancreatitis",Adult: 300 mg once daily (in combination with other antiretrovirals),Viread,anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
thiamine,CI: hypersensitivity to thiamine or any component of the formulation DI: there are no known significant interactions,"nausea, tightness of throat, weakness, pulmonary edema, restlessness, cyanosis, angioneurotic edema, pruritus, urticaria, diaphoresis, warmth","alcohol withdrawal syndrome: 100 mg/day intramuscular (IM) or intravenous (IV); Wernicke's encephalopathy: 100 mg IV, then 50-100 mg/day IM or IV until consuming a regular diet;Thiamine deficiency (beriberi): 5-30 mg/dose IM or IV 3 times/day",,,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2016"
tiotropium,"CI:not for emergency use, milk and taropine derivative allergy DI:anticholinergic-containing drugs Ask for hypersensitivity to milk proteins or atropine derivatives (ipratropium)","dry mouth, taste changes, abdominal pain, urinary tract infection, upper respiratory tract infection, chest pain, edema, vomiting, myalgia, moniliasis, rash, dyspepsia, pharyngitis, rhinitis",18mcg for inhalation; 1 cap inhaled one time a day,"Spiriva,Spiriva Respimat",medicines acting on the respiratory tract,Canadian clinical practice guidelines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
tranexamic acid,"CI: acquired defective color vision; history or risk of thrombosis, active thromboembolic disease, subarachnoid hemorrhage, hematuria DI:contraceptives (estrogens),contraceptives (progestins)","hypotension, giddiness, allergic dermatitis, unusal menstrual discomfort, diarrhea, nausea, vomiting, headache, abdominal pain, back pain","1,300 mg 3 times daily (3,900 mg daily) for up to 5 days during monthly menstruation",,,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Tranexamic acid_C.docx,"Added on August, 2016"
tretinoin,"CI: hypersensitivity DI: topical OTC preparations, topical medications, medicated or abrasive soaps and cleansers, products with strong drying effect, products with high concentrations of alcohol, astringents, spices, or lime","dry skin, peeling/scaling/flaking skin, skin burning sensation, erythema",apply once daily to affected skin areas; use thin layer to cover the entire affected area,"Retin-A,Retin-A Micro,Stieva-A,Vitamin A Acid",antineoplastic and immunosupressives,Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Tretinoin_CA.docx,"Added on March, 2016"
trimethoprim,"CI:hypersensitivity, pregnancy, breast feeding, children under 12yrs, impaired kidney or liver function, megaloblastic anemia DI:Phenytoin Best in combination with sulfamethoxazole","anemia, thrombocytopenia, neutropenia, nausea, vomiting, abdominal discomfort",100mg; 100mg every 12 hours,,anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
urea,,"transient stinging, burning, itching, irritation to skin",5% one time a day,,dermatological (topical),WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
vaginal ring eluting etonogestrel and ethinyl estradiol,"CI: hypersensitivity; breast cancer or other estrogen- or progestin-dependent neoplasms; women at high risk of arterial or venous thrombotic diseases; migraine with aura, uncontrolled hypertension, women >35 years of age who smoke, inherited/acquired coagulopathies DI: anticonvulsants, antibiotics, BZDs, barbiturates, antihistamines, analgesics","headache, vaginitis, leukorrhea, acne, breast tenderness, nausea","one ring, inserted vaginally and left in place for 3 consecutive weeks, then removed for 1 week. new ring inserted 7 days after the last was removed.",NuvaRing,"hormones, other endocrine medicines, and contraceptives",Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Vaginal-ring-eluting-etonogestrel-and-ethinyl-estradiol_CA.docx,"Added on March, 2016"
valacyclovir,CI:hypersensitivity to drug,"headache, nausea, vomiting, diarrhea, malaise","shingles:1000 mg three times daily for 7 days, genital herpes: 1000 mg orally twice daily for 10 days; chronic 1000 mg once daily cold sores: 2000 mg twice daily","Apo-Valacyclovir,Auro-Valacyclovir,CO Valacyclovir,DOM-Valacyclovir,JAMP-Valacyclovir,Mar-Valacyclovir,Mylan-Valacyclovir,PHL-Valacyclovir,PMS-Valacyclovir,Priva-Valacyclovir,PRO-Valacyclovir,Riva-Valacyclovir,Sandoz-Valacyclovir,Teva-Valacyclovir,Valtrex",anti-infective medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Valacyclovir_C.docx,"Added on August, 2015"
valproic acid,"CI: hepatic dysfunction, urea cycle dysfunction, mitochondrial disorders, children <2yrs DI: phenytoin, carbamazepine, phenobarbital, primidone, carbapenem antibiotics, rifampin","hepatotoxicity, pancreatitis, nausea, vomiting, somnolence, dizziness, abdominal pain, dyspepsia, rash, diarrhea, tremor, weight gain, back pain, alopecia, headache",250mg; 500mg every 8-12 hours; oral liquid: 200mg/5mL,"Apo-Divalproex,Apo-Valproic,Depakene,Dom-Divalproex,Dom-Valproic Acid,Dom-Valproic Acid E.C.,Epival,Mylan-Divalproex,Mylan-Valproic,Novo-Valproic,PHL-Divalproex,PHL-Valproic Acid,PHL-Valproic Acid E.C.,PMS-Divalproex,PMS-Valproic Acid,PMS-Valproic Acid E.C.,ratio-Valproic,Sandoz-Valproic,Teva Divalproex",anticonvulsive medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
varenicline,"CI: hypersensitivity, pregnancy, nursing mothers  DI: alcohol","nausea, vomiting, upset stomach, flatulence, constipation, headache, insomnia, somnolence, mild or serious psychiatric symptoms, abnormal dreams, fatigue, upper respiratory tract disorder, dry mouth, sleep disorder, increased appetite",Days 1-3: 0.5mg once daily Days 4-7: 0.5mg twice daily Days 8 - end of treatment: 1mg twice daily Treat for 12 weeks,Champix,medicines for mental and behavioural disorders,Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Varenicline_CA.docx,"Added on March, 2016"
vitamin B12,"CI: hypersensitivity to cobalamins DI: chloramphenicol, colchicine, aminoglycosides, phenytoin, alcohol, neomycin, antacids, H2 antagonists, proton pump inhibitors","diarrhea, itch, urticaria, peripheral vascular thrombosis, heart failure exacerbation, pulmonary edema, feeling of swelling all over the body",Oral: 250g daily,,vitamins and minerals,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Vitamin B12_CA.docx,"March, 2016"
vitamin D,"CI:kidney disease, heart disease DI:colestyramine, steroids, digoxin, diuretics",,400units; 600 - 4000units one time a day ,"D-Vi-Sol,D-Forte,Erdol",vitamins and minerals,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Vitamin D_C.docx,"Added on August, 2015"
warfarin,"CI: pregnancy, active bleeding, hemorrhagic disorders, previous warfarin induced skin necrosis, recent surgery, noncompliant patients DI: alcohol, allopurinol, amiodarone, cimetidine, fibrates, NSAIDs/Coxibs, phenobarbital, st. johns wort","bleeding, bruising, nausea, diarrhea, abdominal cramping, fever",2mg; 2-10mg one time a day,"Apo-Warfarin,Coumadin,Mylan-Warfarin,Novo-Warfarin,Taro-Warfarin",medicines affecting the blood,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
